"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-10-03","94.7","2.23","6.18","Ohtani, Shohei",660271,448281,"strikeout","swinging_strike",,,,,"12","Shohei Ohtani strikes out swinging.","R","L","L","SEA","LAA","S","2",,"1","2",2021,"0.37","1.6","0.02","4.03",,,,"2","7","Top",,,,,"663728",,,-6.516817310576615,-137.7790572569884,-3.466722668071971,6.188919267893482,30.788268279590554,-11.258349252776629,"3.55","1.63",,,,"93.9","2258","5.8",632237,448281,"663728","664034","647351","572122","641487","641584","672284","571745","54.66",,,"0","1","0","0",,"66","4","4-Seam Fastball","3","7","7","3","7","3","7","3","Infield shift","Standard","165","0.003","-0.073"
"CU","2021-10-03","81.7","2.17","6.01","Ohtani, Shohei",660271,448281,,"ball",,,,,"13","Shohei Ohtani strikes out swinging.","R","L","L","SEA","LAA","B",,,"0","2",2021,"-0.39","0.3","-1.31","2.01",,,,"2","7","Top",,,,,"663728",,,-7.068337351111436,-118.79291700762784,-3.0156001584458685,-2.3864142581431054,21.647060377019983,-29.003860701369312,"3.42","1.63",,,,"81.5","2322","6.1",632237,448281,"663728","664034","647351","572122","641487","641584","672284","571745","54.4",,,,,,,,"66","3","Curveball","3","7","7","3","7","3","7","3","Infield shift","Standard","253","0","0.011"
"SL","2021-10-03","82.9","2.22","6.06","Ohtani, Shohei",660271,448281,,"called_strike",,,,,"8","Shohei Ohtani strikes out swinging.","R","L","L","SEA","LAA","S",,,"0","1",2021,"-0.44","0.27","-0.12","2.00",,,,"2","7","Top",,,,,"663728",,,-4.444458907814346,-120.72069874708887,-3.3511614719562237,-3.5324914279140733,22.352673773014917,-29.14152374749484,"3.52","1.63",,,,"82.6","2247","5.9",632237,448281,"663728","664034","647351","572122","641487","641584","672284","571745","54.59",,,,,,,,"66","2","Slider","3","7","7","3","7","3","7","3","Infield shift","Standard","243","0","-0.024"
"FF","2021-10-03","94.0","1.8","6.18","Ohtani, Shohei",660271,448281,,"called_strike",,,,,"8","Shohei Ohtani strikes out swinging.","R","L","L","SEA","LAA","S",,,"0","0",2021,"0.36","1.61","-0.25","1.55",,,,"2","7","Top",,,,,"663728",,,-6.072494000106556,-136.51534041055953,-9.795328711576929,5.883891597937465,30.029615567694087,-10.084806966381535,"3.47","1.63",,,,"93.6","2165","6.2",632237,448281,"663728","664034","647351","572122","641487","641584","672284","571745","54.32",,,,,,,,"66","1","4-Seam Fastball","3","7","7","3","7","3","7","3","Infield shift","Standard","167","0","-0.018"
"FF","2021-10-03","95.2","0.29","5.95","Ohtani, Shohei",660271,664948,"strikeout","called_strike",,,,,"11","Shohei Ohtani called out on strikes.","R","L","L","SEA","LAA","S","2",,"2","2",2021,"0.57","1.35","-1.00","3.23",,,,"1","4","Top",,,,,"663728",,,-4.631985691201452,-138.62927637707287,-4.510425759583747,8.40512490614047,30.49456884381477,-13.951209743442485,"3.51","1.61",,,,"94.7","2007","5.9",632237,664948,"663728","664034","647351","572122","641487","664238","672284","571745","54.57",,,"0","1","0","0",,"34","5","4-Seam Fastball","2","4","4","2","4","2","4","2","Infield shift","Standard","145","0.012","-0.142"
"CU","2021-10-03","80.9","0.62","5.83","Ohtani, Shohei",660271,664948,,"swinging_strike",,,,,"13","Shohei Ohtani called out on strikes.","R","L","L","SEA","LAA","S",,,"2","1",2021,"-0.53","-0.9","-0.76","0.85",,,,"1","4","Top",,,,,"663728",,,-2.0493757625252624,-117.88485417711811,-2.734408388985665,-4.529260929703748,23.435554729116667,-40.18909575411045,"3.55","1.63",,,,"80.3","2882","5.9",632237,664948,"663728","664034","647351","572122","641487","664238","672284","571745","54.57",,,,,,,,"34","4","Curveball","2","4","4","2","4","2","4","2","Infield shift","Standard","315","0","-0.053"
"CU","2021-10-03","80.2","0.56","5.89","Ohtani, Shohei",660271,664948,,"ball",,,,,"13","Shohei Ohtani called out on strikes.","R","L","L","SEA","LAA","B",,,"1","1",2021,"-0.99","-0.67","-1.53","2.50",,,,"1","4","Top",,,,,"663728",,,-2.730887599326633,-116.71014258973318,0.4984351584843112,-8.479185000556333,23.013648985075662,-38.603860008584476,"3.46","1.63",,,,"79.5","2860","5.9",632237,664948,"663728","664034","647351","572122","641487","664238","672284","571745","54.61",,,,,,,,"34","3","Curveball","2","4","4","2","4","2","4","2","Infield shift","Standard","334","0","0.038"
"FF","2021-10-03","93.7","0.37","6.14","Ohtani, Shohei",660271,664948,,"ball",,,,,"11","Shohei Ohtani called out on strikes.","R","L","L","SEA","LAA","B",,,"0","1",2021,"0.92","1.27","-0.82","4.26",,,,"1","4","Top",,,,,"663728",,,-5.06595932800033,-136.46960771618433,-1.9127769837814774,12.560775182663768,30.303695917732092,-16.12277593444812,"3.47","1.63",,,,"93.1","2231","5.9",632237,664948,"663728","664034","647351","572122","641487","664238","672284","571745","54.57",,,,,,,,"34","2","4-Seam Fastball","2","4","4","2","4","2","4","2","Infield shift","Standard","152","0","0.021"
"CU","2021-10-03","79.6","0.79","5.87","Ohtani, Shohei",660271,664948,,"called_strike",,,,,"3","Shohei Ohtani called out on strikes.","R","L","L","SEA","LAA","S",,,"0","0",2021,"-0.92","-0.7","0.32","3.50",,,,"1","4","Top",,,,,"663728",,,0.6829492532114341,-115.83088049841788,2.8285531736827947,-8.36093334374988,21.9680395102204,-39.211469845370594,"3.46","1.63",,,,"78.7","2708","5.7",632237,664948,"663728","664034","647351","572122","641487","664238","672284","571745","54.78",,,,,,,,"34","1","Curveball","2","4","4","2","4","2","4","2","Infield shift","Standard","324","0","-0.027"
"FC","2021-10-03","86.4","2.68","5.88","Ohtani, Shohei",660271,542881,"home_run","hit_into_play",,,,,"2","Shohei Ohtani homers (46) on a line drive to right field.","R","L","L","SEA","LAA","X",,"line_drive","1","1",2021,"0.04","0.83","0.09","3.01",,,,"0","1","Top",215.13,54.58,,,"663728",,,-6.204827964845792,-125.76942819509883,-2.338639090459805,1.5943586685039357,24.0475982298864,-23.031383501708422,"3.55","1.63","418","112.9","20","86","2447","5.9",632237,542881,"663728","664034","647351","572122","641487","664238","672284","571745","54.64","0.931","1.635","2","1","0","3","6","1","3","Cutter","0","0","0","0","1","0","1","0","Infield shift","Standard","170","-0.101","1.011"
"FC","2021-10-03","87.1","2.68","5.84","Ohtani, Shohei",660271,542881,,"ball",,,,,"13","Shohei Ohtani homers (46) on a line drive to right field.","R","L","L","SEA","LAA","B",,,"0","1",2021,"-0.07","0.95","-1.27","0.64",,,,"0","1","Top",,,,,"663728",,,-9.256669488719316,-126.48140740935759,-8.27841565706404,0.8392541888630024,22.535655042200847,-20.44862738207002,"3.33","1.47",,,,"86.8","2417","5.9",632237,542881,"663728","664034","647351","572122","641487","664238","672284","571745","54.56",,,,,,,,"1","2","Cutter","0","0","0","0","0","0","0","0","Infield shift","Standard","144","0","0.027"
"FF","2021-10-03","90.6","2.22","6.14","Ohtani, Shohei",660271,542881,,"swinging_strike",,,,,"5","Shohei Ohtani homers (46) on a line drive to right field.","R","L","L","SEA","LAA","S",,,"0","0",2021,"0.65","1.7","-0.20","2.77",,,,"0","1","Top",,,,,"663728",,,-7.3659599309891695,-131.6288324981424,-6.074422018063606,9.071138770060209,27.402298354544996,-11.268010036172063,"3.55","1.63",,,,"90","2192","6",632237,542881,"663728","664034","647351","572122","641487","664238","672284","571745","54.51",,,,,,,,"1","1","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Standard","151","0","-0.038"
